time	message
2025.12.01 00:00:00	Tester chain state imported originalChallengeBalance=50000.00 testerStartBalance=50812.00 file=GoldBot/fundingpips-chain-state.csv
2025.12.01 00:00:00	Prop mode enabled monitorOnly=no challengeRiskPct=0.500 phaseTargetPct=8.00 firmDailyLossPct=5.00 firmMaxDrawdownPct=10.00 ddIsTrailing=no
2025.12.01 00:00:00	Prop symbol specification symbol=XAUUSD contractSize=100.0000 tickSize=0.01000000 tickValue=0.01000000 tickValueProfit=0.01000000 tickValueLoss=0.01000000 cashPerPriceUnit=100.0000 volumeMin=0.0100 volumeStep=0.0100 volumeMax=5.0000 commissionPerLotUsd=7.00
2025.12.01 01:01:00	Monthly risk baseline reset month=202512 equity=50812.00
2025.12.01 01:02:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=yes
2025.12.01 01:03:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:04:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:05:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:06:00	M1 micro scalp blocked spread=0.37 max=0.25 prop=yes
2025.12.01 01:07:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:08:00	M1 micro scalp blocked spread=0.44 max=0.25 prop=yes
2025.12.01 01:09:00	M1 micro scalp blocked spread=0.33 max=0.25 prop=yes
2025.12.01 01:10:00	M5 scalp blocked spread=0.35 max=0.35 prop=yes
2025.12.01 01:10:00	M1 micro scalp blocked spread=0.35 max=0.25 prop=yes
2025.12.01 01:11:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:12:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=yes
2025.12.01 01:13:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:14:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:16:00	M1 micro scalp blocked spread=0.29 max=0.25 prop=yes
2025.12.01 01:17:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:18:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:19:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:20:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:21:00	M1 micro scalp blocked spread=0.45 max=0.25 prop=yes
2025.12.01 01:22:00	M1 micro scalp blocked spread=0.27 max=0.25 prop=yes
2025.12.01 01:23:00	M1 micro scalp blocked spread=0.28 max=0.25 prop=yes
2025.12.01 01:24:00	M1 micro scalp blocked spread=0.26 max=0.25 prop=yes
2025.12.01 01:25:00	M5 scalp blocked dir=1 setupVariant=classic_pullback hour=1 spread=0.26 adx=24.67 minAdx=18.00 adxOk=yes diGap=5.28 minDiGap=4.00 diOk=yes h1=yes m15=yes m15Long=yes m15Short=no atr=5.39 atrRatio=1.20 atrOk=yes zone=yes hourOk=no
